name,location,price,area,bhk,price_cr,area_sqft,bhk_count,price_per_sqft
Duplex of Basement & Ground,"5 BHK Builder Floor in Greater Kailash 2, Delhi",₹27 Cr,"5,000 sqft",5 BHK,27.0,5000.0,5.0,54000.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹16 Cr,"3,375 sqft",4 BHK,16.0,3375.0,4.0,47407.0
Godrej South Estate 4.0,"2 BHK Flat in Okhla, Delhi",₹5.1 Cr,"1,442 sqft",2 BHK,5.1,1442.0,2.0,35368.0
GREATER KAILASH,"2 BHK Builder Floor in Greater Kailash 2, Delhi",₹7 Cr,"2,300 sqft",2 BHK,7.0,2300.0,2.0,30435.0
"Govind Puri, Delhi, South Delhi","2 BHK Builder Floor in Govind Puri, Delhi",₹37 Lac,579 sqft,2 BHK,0.37,579.0,2.0,6390.0
Greater Kailash 1 Builder Floors,"4 BHK Builder Floor in Greater Kailash 1, Delhi",₹14 Cr,"4,500 sqft",4 BHK,14.0,4500.0,4.0,31111.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹6.25 Cr,"1,890 sqft",3 BHK,6.25,1890.0,3.0,33069.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.5 Cr,"2,700 sqft",4 BHK,8.5,2700.0,4.0,31481.0
DDA Flats Sector B Pocket 8,"4 BHK Flat in Vasant Kunj, Delhi",₹5.2 Cr,"2,200 sqft",4 BHK,5.2,2200.0,4.0,23636.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Duplex Builder Floor in Greater Kailash 1, Delhi",₹7 Cr,"1,500 sqft",3 BHK,7.0,1500.0,3.0,46667.0
Pashmi marg,"3 BHK Builder Floor in Vasant Vihar, Delhi",₹10.5 Cr,"9,360 sqft",3 BHK,10.5,9360.0,3.0,11218.0
the pearl apartment,"3 BHK Flat in Chattarpur, Delhi",₹75 Lac,"1,080 sqft",3 BHK,0.75,1080.0,3.0,6944.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Triplex Builder Floor in Greater Kailash 1, Delhi",₹18 Cr,"2,700 sqft",4 BHK,18.0,2700.0,4.0,66667.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹35 Cr,"10,800 sqft",4 BHK,35.0,10800.0,4.0,32407.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹30 Cr,"7,200 sqft",4 BHK,30.0,7200.0,4.0,41667.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹35 Cr,"7,200 sqft",4 BHK,35.0,7200.0,4.0,48611.0
Safdarjung Enclave RWA,"3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹6 Cr,"1,800 sqft",3 BHK,6.0,1800.0,3.0,33333.0
Park Facing,"4 BHK Duplex Builder Floor in Greater Kailash 1, Delhi",₹18 Cr,"4,860 sqft",4 BHK,18.0,4860.0,4.0,37037.0
New Friends Colony Floors,"4 BHK Builder Floor in New Friends Colony, Delhi",₹7.95 Cr,"2,705 sqft",4 BHK,7.95,2705.0,4.0,29390.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹11.25 Cr,"4,500 sqft",4 BHK,11.25,4500.0,4.0,25000.0
RWA,"3 BHK Flat in Block L Malviya Nagar, Delhi",₹4.5 Cr,"1,800 sqft",3 BHK,4.5,1800.0,3.0,25000.0
DDA Flats Sector B Pocket 11,"4 BHK Flat in Vasant Kunj, Delhi",₹6.65 Cr,"3,000 sqft",4 BHK,6.65,3000.0,4.0,22167.0
"Gulmohar park, Delhi, South Delhi","3 BHK Builder Floor in Gulmohar park, Delhi",₹15 Cr,"2,700 sqft",3 BHK,15.0,2700.0,3.0,55556.0
"Block A 2 Safdarjung Enclave, Delhi, South Delhi","3 BHK Builder Floor in Block A 2 Safdarjung Enclave, Delhi",₹5.5 Cr,"1,980 sqft",3 BHK,5.5,1980.0,3.0,27778.0
TARC Tripundra,"4 BHK Flat in Pushpanjali Farms, Delhi",₹8 Cr,"3,164 sqft",4 BHK,8.0,3164.0,4.0,25284.0
Gangotri Enclave,"5 BHK Flat in Alaknanda, Delhi",₹4.25 Cr,"2,500 sqft",5 BHK,4.25,2500.0,5.0,17000.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹6.95 Cr,"1,872 sqft",3 BHK,6.95,1872.0,3.0,37126.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹25 Cr,"5,400 sqft",4 BHK,25.0,5400.0,4.0,46296.0
RWA Greater Kailash 2 3.8,"3 BHK Builder Floor in Greater Kailash 2, Delhi",₹8.5 Cr,"2,250 sqft",3 BHK,8.5,2250.0,3.0,37778.0
"Block G Sangam Vihar, Delhi, South Delhi","Residential land / Plot in Block G Sangam Vihar, Delhi",₹1.6 Cr,900 sqft,Plot/Land,1.6,900.0,,17778.0
Greater Kailash 1 Builder Floors,"4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.5 Cr,"2,700 sqft",4 BHK,8.5,2700.0,4.0,31481.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹16 Cr,"5,400 sqft",4 BHK,16.0,5400.0,4.0,29630.0
"Block S Panchsheel Park South, Delhi, South Delhi","3 BHK Duplex Builder Floor in Block S Panchsheel Park South, Delhi",₹13.5 Cr,"23,895 sqft",3 BHK,13.5,23895.0,3.0,5650.0
Omdev Greater Kailash 2 Premium Builder Floors,"4 BHK Builder Floor in Greater Kailash 2, Delhi",₹7.5 Cr,"2,250 sqft",4 BHK,7.5,2250.0,4.0,33333.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹6.5 Cr,"1,872 sqft",3 BHK,6.5,1872.0,3.0,34722.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹11 Cr,"3,690 sqft",4 BHK,11.0,3690.0,4.0,29810.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹6.49 Cr,"1,872 sqft",3 BHK,6.49,1872.0,3.0,34669.0
BRAND NEW,"3 BHK Builder Floor in Block G Green Park Extension, Delhi",₹6.3 Cr,"1,800 sqft",3 BHK,6.3,1800.0,3.0,35000.0
RWA Green Park 3.8,"3 BHK Builder Floor in Green Park Extension, Delhi",₹7.55 Cr,"1,800 sqft",3 BHK,7.55,1800.0,3.0,41944.0
"Safdarjung Enclave, Delhi, South Delhi","3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹5.65 Cr,"1,800 sqft",3 BHK,5.65,1800.0,3.0,31389.0
"South Extension 2, Delhi, South Delhi","4 BHK Builder Floor in South Extension 2, Delhi",₹23.75 Cr,"8,100 sqft",4 BHK,23.75,8100.0,4.0,29321.0
Greater Kailash 2 Luxurious Builder Floors,"3 BHK Builder Floor in Greater Kailash 2, Delhi",₹7.25 Cr,"2,250 sqft",3 BHK,7.25,2250.0,3.0,32222.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹13 Cr,"3,600 sqft",4 BHK,13.0,3600.0,4.0,36111.0
Aggarwal Lifestyle Homes,"4 BHK Flat in Rajpur Khurd Village, Delhi",₹1.6 Cr,"1,800 sqft",4 BHK,1.6,1800.0,4.0,8889.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹5.61 Cr,"1,872 sqft",3 BHK,5.61,1872.0,3.0,29968.0
Sukhdev Vihar,"3 BHK Flat in Pocket B Sukhdev Vihar, Delhi",₹3.3 Cr,"1,500 sqft",3 BHK,3.3,1500.0,3.0,22000.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Triplex Builder Floor in Greater Kailash 2, Delhi",₹15.5 Cr,"3,600 sqft",4 BHK,15.5,3600.0,4.0,43056.0
Pearl residency,"4 BHK Flat in Chattarpur, Delhi",₹1.25 Cr,"1,620 sqft",4 BHK,1.25,1620.0,4.0,7716.0
Godrej South Estate 4.0,"2 BHK Flat in Okhla, Delhi",₹3.6 Cr,"1,213 sqft",2 BHK,3.6,1213.0,2.0,29678.0
Park Facing Builder Floor Sarvpriya Vihar,"3 BHK Flat in Sarvpriya Vihar, Delhi",₹5.51 Cr,"1,953 sqft",3 BHK,5.51,1953.0,3.0,28213.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹12.15 Cr,"3,672 sqft",4 BHK,12.15,3672.0,4.0,33088.0
DDA Flats Sector C Pocket 8,"4 BHK Flat in Vasant Kunj, Delhi",₹5.5 Cr,"2,800 sqft",4 BHK,5.5,2800.0,4.0,19643.0
"Greater Kailash 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 1, Delhi",₹14 Cr,"4,500 sqft",4 BHK,14.0,4500.0,4.0,31111.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹14 Cr,"3,600 sqft",4 BHK,14.0,3600.0,4.0,38889.0
"Block K Green Park Extension, Delhi, South Delhi","4 BHK Builder Floor in Block K Green Park Extension, Delhi",₹9.75 Cr,"3,150 sqft",4 BHK,9.75,3150.0,4.0,30952.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹8.27 Cr,"2,700 sqft",4 BHK,8.27,2700.0,4.0,30630.0
"Green Park, Delhi, South Delhi","3 BHK Builder Floor in Green Park, Delhi",₹6.5 Cr,"1,800 sqft",3 BHK,6.5,1800.0,3.0,36111.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹6.11 Cr,"1,872 sqft",3 BHK,6.11,1872.0,3.0,32639.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹5.5 Cr,"1,900 sqft",3 BHK,5.5,1900.0,3.0,28947.0
"Greater Kailash 2, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 2, Delhi",₹7.75 Cr,"2,250 sqft",3 BHK,7.75,2250.0,3.0,34444.0
"Vasant Vihar, Delhi, South Delhi","3 Bedroom House in Vasant Vihar, Delhi",₹50 Cr,"3,600 sqft",3 BHK,50.0,3600.0,3.0,138889.0
"Vasant Vihar, Delhi, South Delhi","3 Bedroom House in Vasant Vihar, Delhi",₹44 Cr,"3,555 sqft",3 BHK,44.0,3555.0,3.0,123769.0
W Block RWA,"4 BHK Builder Floor in Greater Kailash 1, Delhi",₹14.5 Cr,"4,500 sqft",4 BHK,14.5,4500.0,4.0,32222.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹28 Cr,"10,800 sqft",4 BHK,28.0,10800.0,4.0,25926.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹8.9 Cr,"2,700 sqft",4 BHK,8.9,2700.0,4.0,32963.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹5.5 Cr,"1,872 sqft",3 BHK,5.5,1872.0,3.0,29380.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Triplex Builder Floor in Vasant Vihar, Delhi",₹22 Cr,"2,400 sqft",4 BHK,22.0,2400.0,4.0,91667.0
RWA Sarvodaya Enclave 3.7,"3 BHK Builder Floor in Sarvodaya Enclave, Delhi",₹6 Cr,"16,200 sqft",3 BHK,6.0,16200.0,3.0,3704.0
Safdarjung Enclave Luxurious Builder Floors,"3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹7.5 Cr,"2,000 sqft",3 BHK,7.5,2000.0,3.0,37500.0
Greater Kailash 2 Luxurious Builder Floors,"4 BHK Builder Floor in Greater Kailash 2, Delhi",₹6.99 Cr,"2,250 sqft",4 BHK,6.99,2250.0,4.0,31067.0
"Defence Colony, South Delhi","3 BHK Builder Floor in Defence Colony, South Delhi",₹10.5 Cr,"2,016 sqft",3 BHK,10.5,2016.0,3.0,52083.0
"Defence Colony, South Delhi","4 BHK Builder Floor in Defence Colony, South Delhi",₹16 Cr,"2,925 sqft",4 BHK,16.0,2925.0,4.0,54701.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Triplex Builder Floor in Greater Kailash 2, Delhi",₹12.9 Cr,"4,800 sqft",4 BHK,12.9,4800.0,4.0,26875.0
Greater Kailash 1 Builder Floors,"4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.55 Cr,"2,700 sqft",4 BHK,8.55,2700.0,4.0,31667.0
BRAND NEW THIRD FLOOR AND TERRACE,"3 BHK Builder Floor in Defence Colony, South Delhi",₹15.5 Cr,"2,925 sqft",3 BHK,15.5,2925.0,3.0,52991.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹7.9 Cr,"24,300 sqft",4 BHK,7.9,24300.0,4.0,3251.0
"South Extension 2, Delhi, South Delhi","4 BHK Duplex Builder Floor in South Extension 2, Delhi",₹13.9 Cr,"4,500 sqft",4 BHK,13.9,4500.0,4.0,30889.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹8.91 Cr,"2,700 sqft",4 BHK,8.91,2700.0,4.0,33000.0
Godrej South Estate 4.0,"2 BHK Flat in Okhla, Delhi",₹3 Cr,968 sqft,2 BHK,3.0,968.0,2.0,30992.0
"Greater Kailash 2, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 2, Delhi",₹7 Cr,"1,800 sqft",3 BHK,7.0,1800.0,3.0,38889.0
"South Extension 2, Delhi, South Delhi","4 BHK Builder Floor in South Extension 2, Delhi",₹8.25 Cr,"2,700 sqft",4 BHK,8.25,2700.0,4.0,30556.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹5.75 Cr,"1,900 sqft",3 BHK,5.75,1900.0,3.0,30263.0
"Green Park, Delhi, South Delhi","4 BHK Builder Floor in Green Park, Delhi",₹9.55 Cr,"2,799 sqft",4 BHK,9.55,2799.0,4.0,34119.0
Omdev Homes,"4 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.6 Cr,"2,700 sqft",4 BHK,8.6,2700.0,4.0,31852.0
"Green Park, Delhi, South Delhi","3 BHK Builder Floor in Green Park, Delhi",₹5.55 Cr,"1,800 sqft",3 BHK,5.55,1800.0,3.0,30833.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹12 Cr,"2,200 sqft",4 BHK,12.0,2200.0,4.0,54545.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹22.5 Cr,"5,400 sqft",4 BHK,22.5,5400.0,4.0,41667.0
"Safdarjung Enclave, Delhi, South Delhi","3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹5.95 Cr,"2,000 sqft",3 BHK,5.95,2000.0,3.0,29750.0
"Kalkaji, Delhi, South Delhi","3 BHK Builder Floor in Kalkaji, Delhi",₹4.45 Cr,"1,800 sqft",3 BHK,4.45,1800.0,3.0,24722.0
"Safdarjung Enclave, Delhi, South Delhi","4 BHK Builder Floor in Safdarjung Enclave, Delhi",₹12.8 Cr,"4,500 sqft",4 BHK,12.8,4500.0,4.0,28444.0
Flower Valley Residency,"1 BHK Flat in Mehrauli, Delhi",₹24.5 Lac,400 sqft,1 BHK,0.245,400.0,1.0,6125.0
RWA SDA,"3 BHK Flat in SDA, Delhi",₹11 Cr,"23,400 sqft",3 BHK,11.0,23400.0,3.0,4701.0
"CR Park, Delhi, South Delhi","3 BHK Builder Floor in CR Park, Delhi",₹4.75 Cr,"1,440 sqft",3 BHK,4.75,1440.0,3.0,32986.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹11.8 Cr,"2,500 sqft",4 BHK,11.8,2500.0,4.0,47200.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹5.75 Cr,"1,872 sqft",3 BHK,5.75,1872.0,3.0,30716.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹12.75 Cr,"3,150 sqft",4 BHK,12.75,3150.0,4.0,40476.0
"Greater Kailash 2, Delhi, South Delhi","4 Bedroom House in Greater Kailash 2, Delhi",₹26 Cr,"2,700 sqft",4 BHK,26.0,2700.0,4.0,96296.0
"Vasant Kunj, Delhi, South Delhi","Residential land / Plot in Vasant Kunj, Delhi",₹23 Cr,"9,630 sqft",Plot/Land,23.0,9630.0,,23884.0
kailashColony,"4 BHK Builder Floor in Block H Kailash Colony, Delhi",₹7 Cr,"2,799 sqft",4 BHK,7.0,2799.0,4.0,25009.0
"Sarvpriya Vihar, Delhi, South Delhi","4 BHK Builder Floor in Sarvpriya Vihar, Delhi",₹5.45 Cr,"1,980 sqft",4 BHK,5.45,1980.0,4.0,27525.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹19.95 Cr,"3,600 sqft",4 BHK,19.95,3600.0,4.0,55417.0
Chattarpur Villas,"18 Bedroom House in Chattarpur, Delhi",₹3.25 Cr,"1,620 sqft",18 BHK,3.25,1620.0,18.0,20062.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Triplex Builder Floor in Greater Kailash 2, Delhi",₹16 Cr,"7,700 sqft",4 BHK,16.0,7700.0,4.0,20779.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹12 Cr,"3,150 sqft",4 BHK,12.0,3150.0,4.0,38095.0
"Block I Jangpura, Delhi, South Delhi","3 BHK Builder Floor in Block I Jangpura, Delhi",₹7.95 Cr,"2,394 sqft",3 BHK,7.95,2394.0,3.0,33208.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹11.75 Cr,"3,600 sqft",4 BHK,11.75,3600.0,4.0,32639.0
Omdev Greater Kailash 2 Premium Builder Floors,"4 BHK Builder Floor in Greater Kailash 2, Delhi",₹9.1 Cr,"2,250 sqft",4 BHK,9.1,2250.0,4.0,40444.0
C Block RWA Kailash Colony,"4 BHK Builder Floor in Kailash Colony, Delhi",₹8.75 Cr,"2,799 sqft",4 BHK,8.75,2799.0,4.0,31261.0
RWA Greater Kailash 2 3.8,"4 BHK Builder Floor in Greater Kailash 2, Delhi",₹9 Cr,"2,700 sqft",4 BHK,9.0,2700.0,4.0,33333.0
Block J,"4 BHK Duplex Builder Floor in Block J Khirki Extension, Delhi",₹1.3 Cr,"1,980 sqft",4 BHK,1.3,1980.0,4.0,6566.0
"Hauz Khas, Delhi, South Delhi","3 BHK Builder Floor in Hauz Khas, Delhi",₹5.85 Cr,"2,448 sqft",3 BHK,5.85,2448.0,3.0,23897.0
KailashColony,"3 BHK Builder Floor in Kailash Colony, Delhi",₹4.75 Cr,"1,440 sqft",3 BHK,4.75,1440.0,3.0,32986.0
Greater Kailash 1 Builder Floors,"3 BHK Builder Floor in Greater Kailash 1, Delhi",₹5.55 Cr,"1,872 sqft",3 BHK,5.55,1872.0,3.0,29647.0
Dr Ambedkar Colony 3.5,"3 BHK Builder Floor in Chattarpur, Delhi",₹1.25 Cr,"1,125 sqft",3 BHK,1.25,1125.0,3.0,11111.0
RWA Safdarjung Devlopment Area,"4 BHK Builder Floor in SDA, Delhi",₹14 Cr,"3,150 sqft",4 BHK,14.0,3150.0,4.0,44444.0
RWA Green Park,"3 BHK Flat in Green Park, Delhi",₹5.9 Cr,"1,800 sqft",3 BHK,5.9,1800.0,3.0,32778.0
Ultra Luxurious Floors Green Park,"3 BHK Builder Floor in Green Park, Delhi",₹6 Cr,"1,800 sqft",3 BHK,6.0,1800.0,3.0,33333.0
Florence Nightingale Lane,"3 BHK Builder Floor in Green Park, Delhi",₹7.5 Cr,"1,890 sqft",3 BHK,7.5,1890.0,3.0,39683.0
"Block M Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Block M Greater Kailash 2, Delhi",₹12 Cr,"3,600 sqft",4 BHK,12.0,3600.0,4.0,33333.0
"Greater Kailash 2, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 2, Delhi",₹6.75 Cr,"2,250 sqft",3 BHK,6.75,2250.0,3.0,30000.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹8.95 Cr,"2,700 sqft",3 BHK,8.95,2700.0,3.0,33148.0
"Greater Kailash Enclave 1, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash Enclave 1, Delhi",₹11.99 Cr,"4,500 sqft",4 BHK,11.99,4500.0,4.0,26644.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹6 Cr,"1,998 sqft",3 BHK,6.0,1998.0,3.0,30030.0
"Green Park, Delhi, South Delhi","3 BHK Builder Floor in Green Park, Delhi",₹6.45 Cr,"1,800 sqft",3 BHK,6.45,1800.0,3.0,35833.0
"Green Park, Delhi, South Delhi","3 BHK Builder Floor in Green Park, Delhi",₹6.25 Cr,"1,800 sqft",3 BHK,6.25,1800.0,3.0,34722.0
"Anand Lok, Delhi, South Delhi","4 BHK Builder Floor in Anand Lok, Delhi",₹16 Cr,"3,600 sqft",4 BHK,16.0,3600.0,4.0,44444.0
"Green Park Extension, Delhi, South Delhi","4 BHK Builder Floor in Green Park Extension, Delhi",₹8.5 Cr,"2,799 sqft",4 BHK,8.5,2799.0,4.0,30368.0
"Saket, Delhi, South Delhi","3 BHK Builder Floor in Saket, Delhi",₹5 Cr,"1,800 sqft",3 BHK,5.0,1800.0,3.0,27778.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹23.5 Cr,"5,409 sqft",4 BHK,23.5,5409.0,4.0,43446.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹16.5 Cr,"3,789 sqft",4 BHK,16.5,3789.0,4.0,43547.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹15.11 Cr,"3,609 sqft",4 BHK,15.11,3609.0,4.0,41868.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹13.5 Cr,"3,609 sqft",4 BHK,13.5,3609.0,4.0,37406.0
Shantikunj Main,"6 Bedroom House in Shanti Kunj, Delhi",₹14 Cr,"4,000 sqft",6 BHK,14.0,4000.0,6.0,35000.0
DDA Flats Sector B Pocket 9,"2 BHK Flat in Vasant Kunj, Delhi",₹4.6 Cr,"1,600 sqft",2 BHK,4.6,1600.0,2.0,28750.0
"Block W Greater Kailash 2, Delhi, South Delhi","4 BHK Triplex Builder Floor in Block W Greater Kailash 2, Delhi",₹15.25 Cr,"3,690 sqft",4 BHK,15.25,3690.0,4.0,41328.0
"Safdarjung Enclave, Delhi, South Delhi","3 BHK Builder Floor in Safdarjung Enclave, Delhi",₹7 Cr,"2,790 sqft",3 BHK,7.0,2790.0,3.0,25090.0
Swastik Apartment,"2 BHK Flat in Rajpur Khurd Extension, Delhi",₹45 Lac,600 sqft,2 BHK,0.45,600.0,2.0,7500.0
Omdev Greater Kailash 1 Premium Builder Floors,"3 BHK Builder Floor in S Block Greater Kailash I, Delhi",₹8 Cr,"1,980 sqft",3 BHK,8.0,1980.0,3.0,40404.0
LUXURY FIRST FLOOR,"4 BHK Builder Floor in Safdarjung Enclave, Delhi",₹8.6 Cr,"2,700 sqft",4 BHK,8.6,2700.0,4.0,31852.0
"Chhatarpur DLF Farms, Delhi, South Delhi","8 Bedroom Farm house in Chhatarpur DLF Farms, Delhi",₹125 Cr,"43,560 sqft",8 BHK,125.0,43560.0,8.0,28696.0
"Block S Greater kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Block S Greater kailash 2, Delhi",₹11 Cr,"2,700 sqft",4 BHK,11.0,2700.0,4.0,40741.0
RWA Greater Kailash 2 3.8,"4 BHK Builder Floor in Greater Kailash 2, Delhi",₹7.75 Cr,"2,700 sqft",4 BHK,7.75,2700.0,4.0,28704.0
KailashColony,"4 BHK Builder Floor in Kailash Colony, Delhi",₹11 Cr,"4,500 sqft",4 BHK,11.0,4500.0,4.0,24444.0
"Green Park, Delhi, South Delhi","4 BHK Builder Floor in Green Park, Delhi",₹8.97 Cr,"2,889 sqft",4 BHK,8.97,2889.0,4.0,31049.0
"Safdarjung Enclave, Delhi, South Delhi","3 BHK Triplex Builder Floor in Safdarjung Enclave, Delhi",₹9.75 Cr,"3,600 sqft",3 BHK,9.75,3600.0,3.0,27083.0
"Greater Kailash 2, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 2, Delhi",₹7.35 Cr,"2,250 sqft",3 BHK,7.35,2250.0,3.0,32667.0
"Block D Abul Fazal Enclave Part 1, Delhi, South Delhi","6 BHK Duplex Builder Floor in Block D Abul Fazal Enclave Part 1, Delhi",₹1.45 Cr,"2,200 sqft",6 BHK,1.45,2200.0,6.0,6591.0
"Safdarjung Enclave, Delhi, South Delhi","4 BHK Builder Floor in Safdarjung Enclave, Delhi",₹8.75 Cr,"2,700 sqft",4 BHK,8.75,2700.0,4.0,32407.0
"Green Park, Delhi, South Delhi","4 BHK Builder Floor in Green Park, Delhi",₹8 Cr,"2,709 sqft",4 BHK,8.0,2709.0,4.0,29531.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹19.99 Cr,"3,600 sqft",4 BHK,19.99,3600.0,4.0,55528.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹14.45 Cr,"4,950 sqft",4 BHK,14.45,4950.0,4.0,29192.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹25 Cr,"7,200 sqft",4 BHK,25.0,7200.0,4.0,34722.0
BRAND NEW PARK FACING,"3 BHK Builder Floor in Defence Colony, South Delhi",₹8.35 Cr,"1,953 sqft",3 BHK,8.35,1953.0,3.0,42755.0
"Greater Kailash 1, Delhi, South Delhi","3 BHK Builder Floor in Greater Kailash 1, Delhi",₹5.81 Cr,"1,872 sqft",3 BHK,5.81,1872.0,3.0,31036.0
"Vasant Vihar, Delhi, South Delhi","4 BHK Builder Floor in Vasant Vihar, Delhi",₹16 Cr,"3,600 sqft",4 BHK,16.0,3600.0,4.0,44444.0
"Green Park, Delhi, South Delhi","3 BHK Builder Floor in Green Park, Delhi",₹7.35 Cr,"1,800 sqft",3 BHK,7.35,1800.0,3.0,40833.0
"Block G Kalkaji, Delhi, South Delhi","3 BHK Builder Floor in Block G Kalkaji, Delhi",₹3.9 Cr,"1,800 sqft",3 BHK,3.9,1800.0,3.0,21667.0
Omdev Greater Kailash 1 Premium Builder Floors,"3 BHK Builder Floor in Greater Kailash 1, Delhi",₹5.65 Cr,"1,872 sqft",3 BHK,5.65,1872.0,3.0,30182.0
"Green Park, Delhi, South Delhi","3 BHK Builder Floor in Green Park, Delhi",₹6.3 Cr,"1,800 sqft",3 BHK,6.3,1800.0,3.0,35000.0
"SDA, Delhi, South Delhi","4 BHK Builder Floor in SDA, Delhi",₹10 Cr,"2,700 sqft",4 BHK,10.0,2700.0,4.0,37037.0
