name,location,price,area,bhk,price_cr,area_sqft,bhk_count,price_per_sqft
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹14.25 Cr,"4,500 sqft",4 BHK,14.25,4500.0,4.0,31667.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹17.75 Cr,"4,500 sqft",4 BHK,17.75,4500.0,4.0,39444.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹17 Cr,"4,050 sqft",4 BHK,17.0,4050.0,4.0,41975.0
"Panchsheel Park, Delhi, South Delhi","4 BHK Builder Floor in Panchsheel Park, Delhi",₹24 Cr,"7,200 sqft",4 BHK,24.0,7200.0,4.0,33333.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹22.5 Cr,"9,000 sqft",4 BHK,22.5,9000.0,4.0,25000.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹26 Cr,"10,350 sqft",4 BHK,26.0,10350.0,4.0,25121.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹31.99 Cr,"9,000 sqft",4 BHK,31.99,9000.0,4.0,35544.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹13.75 Cr,"4,950 sqft",4 BHK,13.75,4950.0,4.0,27778.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹13.5 Cr,"4,995 sqft",4 BHK,13.5,4995.0,4.0,27027.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹17.5 Cr,"4,950 sqft",4 BHK,17.5,4950.0,4.0,35354.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹11.99 Cr,"3,600 sqft",4 BHK,11.99,3600.0,4.0,33306.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹9.99 Cr,"3,600 sqft",4 BHK,9.99,3600.0,4.0,27750.0
"Greater Kailash 2, Delhi, South Delhi","4 BHK Builder Floor in Greater Kailash 2, Delhi",₹10 Cr,"3,600 sqft",4 BHK,10.0,3600.0,4.0,27778.0
"Uday Park, Delhi, South Delhi","3 BHK Builder Floor in Uday Park, Delhi",₹6.3 Cr,"1,953 sqft",3 BHK,6.3,1953.0,3.0,32258.0
"Paryavaran Complex, Delhi, South Delhi","3 BHK Builder Floor in Paryavaran Complex, Delhi",₹92 Lac,"1,150 sqft",3 BHK,0.92,1150.0,3.0,8000.0
